Racetrack,Date,Time,Position,Draw,Horse Name,Horse Age,Horse Weight,ISP,Expectation
chelmsford-city,2019-05-02,1745,1,2,3. LAMBETH WALK,2,9-3,0.666666666666667,f
chelmsford-city,2019-05-02,1745,2,3,2. PRAXEOLOGY (IRE),2,9-5,1.5,
chelmsford-city,2019-05-02,1745,3,1,1. LITTLETON HALL (IRE),2,9-5,12,
chelmsford-city,2019-05-02,1745,4,4,4. STAR'S DAUGHTER,2,9-0,33,
chelmsford-city,2019-05-02,1820,1,3,1. EMIRATES EMPIRE (IRE),3,9-7,1.625,f
chelmsford-city,2019-05-02,1820,2,2,5. TIGRAY (USA),3,9-1,12,
chelmsford-city,2019-05-02,1820,3,4,2. SMARTER (IRE),3,9-7,3,
chelmsford-city,2019-05-02,1820,4,1,4. WITHOUTDESTINATION,3,9-3,8,
chelmsford-city,2019-05-02,1820,5,5,3. LORD LAMINGTON,3,9-7,2.5,
chelmsford-city,2019-05-02,1855,1,11,4. DESERT FOX,5,10-0,7,
chelmsford-city,2019-05-02,1855,2,10,10. DARING GUEST (IRE),5,9-5,8,
chelmsford-city,2019-05-02,1855,3,2,5. EVENING ATTIRE,8,9-13,4,f
chelmsford-city,2019-05-02,1855,4,3,7. DIVA STAR,4,9-10,10,
chelmsford-city,2019-05-02,1855,5,9,11. MYSTICAL MOON (IRE),4,9-3,16,
chelmsford-city,2019-05-02,1855,6,13,6. ZEFFERINO,5,9-11,16,
chelmsford-city,2019-05-02,1855,7,8,2. GLOBAL EXCEED,4,10-1,12,
chelmsford-city,2019-05-02,1855,8,4,8. SPENNY'S LASS,4,9-8,8,
chelmsford-city,2019-05-02,1855,9,7,9. ADMIRAL ROOKE (IRE),4,9-7,9,
chelmsford-city,2019-05-02,1855,10,6,12. CHARLIE ALPHA (IRE),5,8-9 (8-8),33,
chelmsford-city,2019-05-02,1855,11,1,13. LAMBRINI LULLABY,4,8-9 (8-8),66,
chelmsford-city,2019-05-02,1855,12,5,3. NAUTICAL HAVEN,5,10-0,6,
chelmsford-city,2019-05-02,1855,13,14,1. TIME TO REASON (IRE),6,10-1,8,
chelmsford-city,2019-05-02,1925,1,6,5. ISAAN QUEEN (IRE),3,9-0,28,
chelmsford-city,2019-05-02,1925,2,1,3. CHAPELLI,3,9-0,8,
chelmsford-city,2019-05-02,1925,3,14,11. RED IMPRESSION,3,9-0,2.5,f
chelmsford-city,2019-05-02,1925,4,2,13. ROYAL INTERVENTION (IRE),3,9-0,3.5,
chelmsford-city,2019-05-02,1925,5,10,6. LADY ARIA,3,9-0,12,
chelmsford-city,2019-05-02,1925,6,3,1. BEAU WARRIOR (IRE),3,9-0,6,
chelmsford-city,2019-05-02,1925,7,5,4. FEN BREEZE,3,9-0,33,
chelmsford-city,2019-05-02,1925,8,11,14. YOLO AGAIN (IRE),3,9-0,66,
chelmsford-city,2019-05-02,1925,9,8,2. BLAME ROBERTA (USA),3,9-0,40,
chelmsford-city,2019-05-02,1925,10,7,12. ROXY ART (IRE),3,9-0,40,
chelmsford-city,2019-05-02,1925,11,9,8. NASHIRAH,3,9-0,6,
chelmsford-city,2019-05-02,1925,12,13,10. RAHEEB (IRE),3,9-0,33,
chelmsford-city,2019-05-02,1925,13,4,7. LUFRICIA,3,9-0,8,
chelmsford-city,2019-05-02,1955,1,3,6. MYTHICAL MADNESS,8,9-4,10,
chelmsford-city,2019-05-02,1955,2,5,8. BIG KITTEN (USA),4,9-2,2.5,
chelmsford-city,2019-05-02,1955,3,6,4. EL GHAZWANI (IRE),4,9-5,3,
chelmsford-city,2019-05-02,1955,4,7,2. NONIOS (IRE),7,9-6,8,
chelmsford-city,2019-05-02,1955,5,8,3. CALLING OUT (FR),8,9-5,66,
chelmsford-city,2019-05-02,1955,6,1,1. NORTH FACE (IRE),4,9-7,16,
chelmsford-city,2019-05-02,1955,7,2,7. SECRET ART (IRE),9,9-4,25,
chelmsford-city,2019-05-02,1955,8,4,5. POET'S PRINCE,4,9-4,2,f
chelmsford-city,2019-05-02,2025,1,1,5. DUCKETT'S GROVE (USA),3,9-5,8,
chelmsford-city,2019-05-02,2025,2,4,9. MAAMORA (IRE),3,8-8,4,
chelmsford-city,2019-05-02,2025,3,7,8. GREAT EXAMPLE,3,8-13,6,
chelmsford-city,2019-05-02,2025,4,9,4. DEREVO,3,9-5,0.727272727272727,f
chelmsford-city,2019-05-02,2025,5,3,1. RAMSBURY,4,10-6,8,
chelmsford-city,2019-05-02,2025,6,2,6. LANDA BEACH (IRE),3,9-5,12,
chelmsford-city,2019-05-02,2025,7,5,7. ALMOKHTAAR (USA),3,8-13,20,
chelmsford-city,2019-05-02,2025,8,8,2. EMOJIE,5,10-0,100,
chelmsford-city,2019-05-02,2055,1,6,6. SPIRIT OF ANGEL (IRE),3,9-3,1.75,f
chelmsford-city,2019-05-02,2055,2,5,8. PERCY ALEXANDER,3,9-1,3,
chelmsford-city,2019-05-02,2055,3,2,2. CRIMEAN QUEEN,3,9-6,12,
chelmsford-city,2019-05-02,2055,4,7,7. PICTURE POET (IRE),3,9-3,16,
chelmsford-city,2019-05-02,2055,5,3,3. MR FOX,3,9-5,3,
chelmsford-city,2019-05-02,2055,6,4,5. TRIBUNE,3,9-3,11,
chelmsford-city,2019-05-02,2055,7,8,1. DUSTY DAMSEL,3,9-7,7,
musselburgh,2019-05-02,1315,1,3,1. ALRIGHT SUNSHINE (IRE),4,10-0,0.4,f
musselburgh,2019-05-02,1315,2,2,3. WHISKEY AND WATER,3,8-9,5,
musselburgh,2019-05-02,1315,3,1,2. HURRICANE HERO (FR),3,8-9,4.5,
musselburgh,2019-05-02,1345,1,12,11. BAHLWAN,4,8-7 (8-6),4.5,f
musselburgh,2019-05-02,1345,2,4,7. ANGEL EYES,4,8-9,16,
musselburgh,2019-05-02,1345,3,1,6. MR SHELBY (IRE),5,9-2,11,
musselburgh,2019-05-02,1345,4,8,1. KINLOCH PRIDE,7,9-9,5,
musselburgh,2019-05-02,1345,5,3,10. CORTON LASS,4,8-7 (8-6),40,
musselburgh,2019-05-02,1345,6,6,14. THORNABY PRINCESS,8,8-7 (8-6),20,
musselburgh,2019-05-02,1345,7,2,5. LORD OF THE GLEN,4,9-5,22,
musselburgh,2019-05-02,1345,8,11,13. PAVLICHENKO (IRE),4,8-7 (8-6),8,
musselburgh,2019-05-02,1345,9,10,9. KODIMOOR (IRE),6,8-7,8,
musselburgh,2019-05-02,1345,10,14,2. LEXINGTON PLACE,9,9-7,7,
musselburgh,2019-05-02,1345,11,7,8. FOXY BOY,5,8-9,12,
musselburgh,2019-05-02,1345,12,13,3. TWENTYSVNTHLANCERS,6,9-6,5,
musselburgh,2019-05-02,1345,13,9,12. INTENSE STARLET (IRE),8,8-7 (8-6),28,
musselburgh,2019-05-02,1415,1,8,6. JAZZ HANDS (IRE),3,8-7,6,
musselburgh,2019-05-02,1415,2,2,8. BELLEPOWER (IRE),3,8-6,1.1,f
musselburgh,2019-05-02,1415,3,1,2. TRUCKINGBY,3,9-1,4,
musselburgh,2019-05-02,1415,4,5,4. THREE CASTLES,3,8-12,14,
musselburgh,2019-05-02,1415,5,4,9. ARRIBA DE TODA (IRE),3,8-2,22,
musselburgh,2019-05-02,1415,6,3,7. ROYAL COUNTESS,3,8-7,80,
musselburgh,2019-05-02,1415,7,6,5. BORN FIGHTING (IRE),3,8-9,25,
musselburgh,2019-05-02,1415,8,9,3. BE PROUD (IRE),3,8-12,14,
musselburgh,2019-05-02,1415,9,7,1. LETHAL GUEST,3,9-7,9,
musselburgh,2019-05-02,1445,1,3,1. APTERIX (FR),9,9-7,4,
musselburgh,2019-05-02,1445,2,2,4. SEBASTIAN'S WISH (IRE),6,9-2,22,
musselburgh,2019-05-02,1445,3,5,7. TOMORROW'S ANGEL,4,8-11,5,
musselburgh,2019-05-02,1445,4,6,5. MAULESDEN MAY (IRE),6,9-2,5,
musselburgh,2019-05-02,1445,5,4,2. KAJAKI (IRE),6,9-6,2.75,f
musselburgh,2019-05-02,1445,6,7,6. FOUR KINGDOMS (IRE),5,9-0,4,
musselburgh,2019-05-02,1445,7,1,3. GOLDEN JEFFREY (SWI),6,9-2,10,
musselburgh,2019-05-02,1515,1,1,4. THE DEFIANT,3,9-4,2.5,f
musselburgh,2019-05-02,1515,2,5,7. BRAHMA KAMAL,3,8-9,8,
musselburgh,2019-05-02,1515,3,8,3. POPPING CORKS (IRE),3,9-5,11,
musselburgh,2019-05-02,1515,4,4,6. SLIEVE DONARD,3,8-13,6.5,
musselburgh,2019-05-02,1515,5,7,2. DE LATOUR,3,9-7,3.5,
musselburgh,2019-05-02,1515,6,3,5. SHE'ZANARAB,3,9-3,5,
musselburgh,2019-05-02,1515,7,6,1. FRANK'S LAW,3,9-7,7.5,
musselburgh,2019-05-02,1515,8,2,8. LIBERTY DIVA (IRE),3,8-8,80,
musselburgh,2019-05-02,1550,1,7,9. COLOUR CONTRAST (IRE),6,8-9,6,
