https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1745/28/1,Horses finishing position and draw,Horses finishing position and draw,results-desktop-silks,The number of lengths behind the horse that finished in front of it,rp-jockeytrainer-hide,rp-jockeytrainer-show,al-right rp-nextpre-hide,The rating and symbol the Timeform Handicapper gave the horse in this race,rp-nextpre-hide,Timeform Computer Timefigure,rp-jockeytrainer-hide,Horse age,al-center rp-body-text rp-ageequip-hide,Industry Starting Price,Industry Starting Price,Betfair price information is free to registered Timeform users,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1745/28/1,1 (2),,,,3. LAMBETH WALK,,<,,>,,Oisin Murphy,2,9-3,,4/6f,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1745/28/1,2 (3),,,nk,2. PRAXEOLOGY (IRE),,,,>,,Ryan Moore,2,9-5,,6/4,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1745/28/1,3 (1),,,9,1. LITTLETON HALL (IRE),,<,,>,,Callum Shepherd,2,9-5,,12/1,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1745/28/1,4 (4),,,13,4. STAR'S DAUGHTER,,,,>,,Jamie Spencer,2,9-0,,33/1,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1820/28/2,1 (3),,,,1. EMIRATES EMPIRE (IRE),,<,,>,,Jamie Spencer,3,9-7,,13/8f,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1820/28/2,2 (2),,,6,5. TIGRAY (USA),,<,,>,,Alistair Rawlinson,3,9-1,,12/1,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1820/28/2,3 (4),,,¾,2. SMARTER (IRE),,<,,>,,James Doyle,3,9-7,,3/1,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1820/28/2,4 (1),,,3¼,4. WITHOUTDESTINATION,,<,,>,,Oisin Murphy,3,9-3,,8/1,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1820/28/2,5 (5),,,½,3. LORD LAMINGTON,,<,,>,,Ryan Moore,3,9-7,,5/2,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1855/28/3,1 (11),,,,4. DESERT FOX,,<,,>,,Rossa Ryan,5,10-0,,7/1,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1855/28/3,2 (10),,,½,10. DARING GUEST (IRE),,<,,>,,Oisin Murphy,5,9-5,,8/1,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1855/28/3,3 (2),,,ns,5. EVENING ATTIRE,,<,,>,,Katherine Begley (5),8,9-13,,4/1f,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1855/28/3,4 (3),,,1,7. DIVA STAR,,<,,>,,Jamie Spencer,4,9-10,,10/1,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1855/28/3,5 (9),,,1¾,11. MYSTICAL MOON (IRE),,<,,>,,Dougie Costello,4,9-3,,16/1,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1855/28/3,6 (13),,,1,6. ZEFFERINO,,<,,>,,George Wood,5,9-11,,16/1,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1855/28/3,7 (8),,,1¼,2. GLOBAL EXCEED,,<,,>,,Cieren Fallon (7),4,10-1,,12/1,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1855/28/3,8 (4),,,½,8. SPENNY'S LASS,,<,,>,,Brett Doyle,4,9-8,,8/1,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1855/28/3,9 (7),,,hd,9. ADMIRAL ROOKE (IRE),,<,,,,Alistair Rawlinson,4,9-7,,9/1,,
https://www.timeform.com/horse-racing/result/chelmsford-city/2019-05-02/1855/28/3,10 (6),,,nk,12. CHARLIE ALPHA (IRE),,<,,,,Rhiain Ingram (5),5,8-9 (8-8),,33/1,,
